newid,age,sex,grade,peer_ecig_susceptibility,household_tobacco_use,perceived_harm_original,perceived_harm_binary,ever_used_ecig
119160,5,1,1,4,0,3,1,0
119161,3,1,1,4,0,3,1,0
119163,3,2,1,4,1,3,1,0
119164,5,1,1,4,1,4,1,0
119165,5,2,1,4,1,3,1,0
119167,4,2,1,4,0,3,1,0
119168,3,2,1,4,1,3,1,0
119169,5,1,1,4,0,4,1,0
119171,3,1,1,3,1,4,1,0
119175,4,1,2,4,1,3,1,0
119176,1,1,7,NULL,0,1,0,1
119177,6,1,2,4,0,4,1,0
119178,6,1,2,2,0,2,0,0
119180,5,2,2,3,0,4,1,0
119181,4,1,2,NULL,1,3,1,1
119182,5,2,2,NULL,1,3,1,1
119183,5,2,2,3,1,4,1,0
119184,4,2,2,4,1,3,1,0
119185,4,2,2,4,1,3,1,0
119186,5,2,2,NULL,1,4,1,1
119187,5,1,2,4,0,3,1,0
119188,4,1,2,4,1,2,0,0
119190,4,2,2,3,0,4,1,0
119191,6,2,2,4,0,3,1,0
119192,6,2,2,NULL,0,1,0,1
119193,4,1,2,4,0,2,0,0
119195,5,1,2,4,0,4,1,0
119196,4,2,2,4,1,3,1,0
119197,4,2,2,4,1,4,1,0
119198,4,2,2,3,0,3,1,0
119199,5,2,2,NULL,1,4,1,1
119200,5,1,2,3,0,4,1,0
119201,5,2,2,4,1,3,1,0
119202,5,1,2,NULL,1,1,0,1
119203,5,1,2,3,1,3,1,0
119204,6,1,2,4,0,4,1,0
119205,5,1,2,4,1,3,1,0
119206,5,1,2,NULL,0,2,0,1
119207,5,2,2,3,1,3,1,0
119208,5,2,2,4,1,3,1,0
119209,5,1,2,4,0,3,1,0
119211,7,1,3,1,1,2,0,0
119215,5,1,3,3,1,3,1,0
119216,7,1,3,NULL,0,4,1,1
119217,5,2,3,3,1,3,1,0
119218,6,1,3,4,0,3,1,0
119219,6,1,3,3,0,2,0,0
119220,5,2,3,4,0,2,0,0
119221,6,2,3,3,0,2,0,0
119222,5,2,3,3,0,3,1,0
119224,6,1,3,4,0,3,1,0
119225,5,2,3,3,0,3,1,0
119226,6,2,3,4,1,2,0,0
119227,5,2,3,3,0,4,1,0
119228,5,2,3,NULL,0,4,1,1
119229,7,1,3,NULL,1,1,0,1
119230,6,1,3,3,0,2,0,0
119231,6,1,3,3,0,3,1,0
119232,5,2,3,3,0,4,1,0
119233,6,1,3,NULL,1,3,1,1
119235,7,1,3,4,1,4,1,0
119236,5,2,3,4,0,4,1,0
119237,7,1,3,3,0,3,1,0
119239,6,1,3,4,0,2,0,0
119240,6,2,3,3,0,4,1,0
119241,6,1,3,4,0,3,1,0
119242,5,2,3,4,0,4,1,0
119243,6,1,3,4,0,4,1,0
119244,5,2,3,2,1,3,1,0
119245,5,2,3,4,1,4,1,0
119246,5,2,3,3,0,4,1,0
119248,6,2,3,NULL,0,4,1,1
119249,6,1,3,3,0,4,1,0
119250,6,1,3,4,0,4,1,0
119251,6,1,3,4,1,4,1,0
119253,7,1,4,4,0,1,0,0
119256,7,2,4,3,1,3,1,0
119258,6,2,4,NULL,1,3,1,1
119259,6,2,4,3,0,3,1,0
119260,7,1,4,3,0,4,1,0
119261,7,1,4,3,0,3,1,0
119262,6,1,4,4,0,4,1,0
119265,6,2,4,3,1,3,1,0
